Sample_ID Sample_Plate Sample_Well species temp smolt hour
LMB_Stool_Chin_640 LMBStomachs_02 G01 LMB 18.5 3 48
LMB_Stool_Chin_641 LMBStomachs_02 H01 LMB 18.5 3 48
LMB_Stool_Chin_642 LMBStomachs_02 A02 LMB 18.5 3 48
LMB_Stool_Chin_643 LMBStomachs_02 B02 LMB 18.5 3 48
LMB_Stool_Chin_644 LMBStomachs_02 C02 LMB 18.5 3 48
LMB_Stool_Chin_645 LMBStomachs_02 D02 LMB 15.5 3 48
LMB_Stool_Chin_646 LMBStomachs_02 E02 LMB 15.5 3 48
LMB_Stool_Chin_647 LMBStomachs_02 F02 LMB 15.5 3 48
LMB_Stool_Chin_649 LMBStomachs_02 G02 LMB 15.5 3 48
LMB_Stool_Chin_650 LMBStomachs_02 H02 LMB 15.5 3 48
LMB_Stool_Chin_651 LMBStomachs_02 A03 LMB 18.5 3 36
LMB_Stool_Chin_652 LMBStomachs_02 B03 LMB 18.5 3 36
LMB_Stool_Chin_653 LMBStomachs_02 C03 LMB 18.5 3 36
LMB_Stool_Chin_654 LMBStomachs_02 D03 LMB 18.5 3 36
LMB_Stool_Chin_655 LMBStomachs_02 E03 LMB 15.5 3 12
LMB_Stool_Chin_656 LMBStomachs_02 F03 LMB 15.5 3 12
LMB_Stool_Chin_657 LMBStomachs_02 G03 LMB 15.5 3 12
LMB_Stool_Chin_658 LMBStomachs_02 H03 LMB 15.5 3 12
LMB_Stool_Chin_659 LMBStomachs_02 A04 LMB 15.5 3 12
LMB_Stool_Chin_660 LMBStomachs_02 B04 LMB 18.5 3 12
LMB_Stool_Chin_661 LMBStomachs_02 C04 LMB 18.5 3 12
LMB_Stool_Chin_662 LMBStomachs_02 D04 LMB 18.5 3 12
LMB_Stool_Chin_663 LMBStomachs_02 E04 LMB 18.5 3 12
LMB_Stool_Chin_665 LMBStomachs_02 F04 LMB 18.5 3 12
LMB_Stool_Chin_666 LMBStomachs_02 G04 LMB 15.5 3 24
LMB_Stool_Chin_667 LMBStomachs_02 H04 LMB 15.5 3 24
LMB_Stool_Chin_668 LMBStomachs_02 A05 LMB 15.5 3 24
LMB_Stool_Chin_669 LMBStomachs_02 B05 LMB 15.5 3 24
LMB_Stool_Chin_670 LMBStomachs_02 C05 LMB 15.5 3 24
LMB_Stool_Chin_671 LMBStomachs_02 D05 LMB 18.5 3 24
LMB_Stool_Chin_672 LMBStomachs_02 E05 LMB 18.5 3 24
LMB_Stool_Chin_673 LMBStomachs_02 F05 LMB 18.5 3 24
LMB_Stool_Chin_674 LMBStomachs_02 G05 LMB 18.5 3 24
LMB_Stool_Chin_675 LMBStomachs_02 H05 LMB 18.5 3 24
LMB_Stool_Chin_676 LMBStomachs_02 A06 LMB 18.5 3 36
LMB_Stool_Chin_677 LMBStomachs_02 B06 LMB 15.5 3 36
LMB_Stool_Chin_678 LMBStomachs_02 C06 LMB 15.5 3 36
LMB_Stool_Chin_679 LMBStomachs_02 D06 LMB 15.5 3 36
LMB_Stool_Chin_681 LMBStomachs_02 F06 LMB 15.5 3 36
LMB_Stool_Chin_682 LMBStomachs_02 G06 LMB 18.5 3 120
LMB_Stool_Chin_683 LMBStomachs_02 H06 LMB 18.5 3 120
LMB_Stool_Chin_684 LMBStomachs_02 A07 LMB 18.5 3 120
LMB_Stool_Chin_685 LMBStomachs_02 B07 LMB 18.5 3 120
LMB_Stool_Chin_686 LMBStomachs_02 C07 LMB 18.5 3 120
